2015/05/29 14:50:29 [error] 6#0: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.59.3, server: cakephp.dev, request: "GET / HTTP/1.1", upstream: "fastcgi://172.17.0.42:9000", host: "192.168.59.103"
2015/05/29 14:53:54 [error] 7#0: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.59.3, server: cakephp.dev, request: "GET / HTTP/1.1", upstream: "fastcgi://172.17.0.54:9000", host: "192.168.59.103"
2015/05/29 14:53:55 [error] 7#0: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.59.3, server: cakephp.dev, request: "GET / HTTP/1.1", upstream: "fastcgi://172.17.0.54:9000", host: "192.168.59.103"
2015/05/29 15:00:42 [error] 5#0: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.59.3, server: cakephp.dev, request: "GET / HTTP/1.1", upstream: "fastcgi://172.17.0.61:9000", host: "192.168.59.103"
2015/05/29 15:00:44 [error] 5#0: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.59.3, server: cakephp.dev, request: "GET / HTTP/1.1", upstream: "fastcgi://172.17.0.61:9000", host: "192.168.59.103"
2015/05/29 15:16:17 [error] 6#0: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.59.3, server: cakephp.dev, request: "GET / HTTP/1.1", upstream: "fastcgi://172.17.0.73:9000", host: "192.168.59.103"
2015/05/29 15:16:18 [error] 6#0: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.59.3, server: cakephp.dev, request: "GET / HTTP/1.1", upstream: "fastcgi://172.17.0.73:9000", host: "192.168.59.103"
2015/05/29 15:22:46 [error] 6#0: *1 rewrite or internal redirection cycle while redirect to named location "@rewriteapp", client: 192.168.59.3, server: cakephp.dev, request: "GET / HTTP/1.1", host: "192.168.59.103"
2015/05/29 15:25:26 [error] 7#0: *1 rewrite or internal redirection cycle while redirect to named location "@rewriteapp", client: 192.168.59.3, server: cakephp.dev, request: "GET / HTTP/1.1", host: "192.168.59.103"
2015/05/29 15:27:27 [error] 5#0: *1 rewrite or internal redirection cycle while redirect to named location "@rewriteapp", client: 192.168.59.3, server: cakephp.dev, request: "GET / HTTP/1.1", host: "192.168.59.103"
2015/05/29 15:31:04 [crit] 6#0: *1 connect() to unix:/var/run/php5-fpm.sock failed (2: No such file or directory) while connecting to upstream, client: 192.168.59.3, server: cakephp.dev, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "192.168.59.103"
2015/05/29 15:31:06 [crit] 6#0: *1 connect() to unix:/var/run/php5-fpm.sock failed (2: No such file or directory) while connecting to upstream, client: 192.168.59.3, server: cakephp.dev, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "192.168.59.103"
2015/06/01 08:07:34 [error] 5#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.59.3, server: cakephp.dev, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "192.168.59.103"
2015/06/01 08:07:34 [error] 5#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.59.3, server: cakephp.dev, request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "192.168.59.103"
2015/06/01 08:07:34 [error] 5#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.59.3, server: cakephp.dev, request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "192.168.59.103"
2015/06/01 09:54:06 [error] 7#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.59.3, server: local.immo, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "192.168.59.103"
2015/06/01 10:06:58 [error] 6#0: *1 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: NAME in /var/www/app/index.php on line 18
PHP message: PHP Notice:  Undefined index: HOSTNAME in /var/www/app/index.php on line 19" while reading response header from upstream, client: 192.168.59.3, server: dev.immo, request: "GET / HTTP/1.1", upstream: "fastcgi://172.17.0.96:9000", host: "192.168.59.103"
2015/06/01 10:47:33 [error] 7#0: *1 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: NAME in /var/www/app/webroot/index.php on line 18
PHP message: PHP Notice:  Undefined index: HOSTNAME in /var/www/app/webroot/index.php on line 19" while reading response header from upstream, client: 192.168.59.3, server: dev.immo, request: "GET / HTTP/1.1", upstream: "fastcgi://172.17.0.148:9000", host: "192.168.59.103"
2015/06/02 17:44:09 [error] 6#0: *2 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: NAME in /var/www/app/webroot/index.php on line 18
PHP message: PHP Notice:  Undefined index: HOSTNAME in /var/www/app/webroot/index.php on line 19" while reading response header from upstream, client: 192.168.59.3, server: dev.immo, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.17.0.27:9000", host: "192.168.59.103"
2015/06/02 17:48:06 [error] 6#0: *4 FastCGI sent in stderr: "PHP message: PHP Warning:  require(/var/www/app/vendor/autoload.php): failed to open stream: No such file or directory in /var/www/app/config/bootstrap.php on line 23
PHP message: PHP Fatal error:  require(): Failed opening required '/var/www/app/vendor/autoload.php' (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/app/config/bootstrap.php on line 23" while reading response header from upstream, client: 192.168.59.3, server: dev.immo, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.17.0.27:9000", host: "192.168.59.103"
2015/06/02 17:48:11 [error] 6#0: *4 FastCGI sent in stderr: "PHP message: PHP Warning:  require(/var/www/app/vendor/autoload.php): failed to open stream: No such file or directory in /var/www/app/config/bootstrap.php on line 23
PHP message: PHP Fatal error:  require(): Failed opening required '/var/www/app/vendor/autoload.php' (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/app/config/bootstrap.php on line 23" while reading response header from upstream, client: 192.168.59.3, server: dev.immo, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.17.0.27:9000", host: "192.168.59.103"
2015/06/02 17:48:27 [error] 6#0: *7 FastCGI sent in stderr: "PHP message: PHP Warning:  require(/var/www/app/vendor/autoload.php): failed to open stream: No such file or directory in /var/www/app/config/bootstrap.php on line 23
PHP message: PHP Fatal error:  require(): Failed opening required '/var/www/app/vendor/autoload.php' (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/app/config/bootstrap.php on line 23" while reading response header from upstream, client: 192.168.59.3, server: dev.immo, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.17.0.27:9000", host: "192.168.59.103"
2015/06/02 17:48:42 [error] 6#0: *7 FastCGI sent in stderr: "PHP message: PHP Warning:  require(/var/www/app/vendor/autoload.php): failed to open stream: No such file or directory in /var/www/app/config/bootstrap.php on line 24
PHP message: PHP Fatal error:  require(): Failed opening required '/var/www/app/vendor/autoload.php' (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/app/config/bootstrap.php on line 24" while reading response header from upstream, client: 192.168.59.3, server: dev.immo, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.17.0.27:9000", host: "192.168.59.103"
2015/06/02 17:48:42 [error] 6#0: *7 FastCGI sent in stderr: "PHP message: PHP Warning:  require(/var/www/app/vendor/autoload.php): failed to open stream: No such file or directory in /var/www/app/config/bootstrap.php on line 24
PHP message: PHP Fatal error:  require(): Failed opening required '/var/www/app/vendor/autoload.php' (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/app/config/bootstrap.php on line 24" while reading response header from upstream, client: 192.168.59.3, server: dev.immo, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.17.0.27:9000", host: "192.168.59.103"
2015/06/02 17:48:45 [error] 6#0: *7 FastCGI sent in stderr: "PHP message: PHP Warning:  require(/var/www/app/vendor/autoload.php): failed to open stream: No such file or directory in /var/www/app/config/bootstrap.php on line 24
